epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,361.175,1.40938,0.82941,0.98204,0.54898,0.000236608,0.000236608,0.000236608
2,736.831,0.59716,0.85507,0.9876,0.47626,0.000458946,0.000458946,0.000458946
3,1092.34,0.55418,0.84053,0.98418,0.47779,0.000665576,0.000665576,0.000665576
4,1448.27,0.52351,0.81274,0.98204,0.54692,0.000643314,0.000643314,0.000643314
5,1895.44,0.47267,0.87986,0.98846,0.35737,0.000619752,0.000619752,0.000619752
6,2251.65,0.42118,0.87986,0.98931,0.37021,0.00059619,0.00059619,0.00059619
7,2849.19,0.41067,0.90466,0.99017,0.30248,0.000572628,0.000572628,0.000572628
8,3206.54,0.38263,0.88884,0.99102,0.32906,0.000549066,0.000549066,0.000549066
9,3615.5,0.36936,0.90338,0.99102,0.31313,0.000525504,0.000525504,0.000525504
10,3974.78,0.34172,0.88328,0.99059,0.36272,0.000501942,0.000501942,0.000501942
11,4409.09,0.34969,0.9068,0.99102,0.30102,0.00047838,0.00047838,0.00047838
12,4767.12,0.30887,0.91749,0.9923,0.2719,0.000454818,0.000454818,0.000454818
13,5133.39,0.29828,0.92091,0.99401,0.24717,0.000431256,0.000431256,0.000431256
14,5512.77,0.2863,0.91749,0.99102,0.26113,0.000407694,0.000407694,0.000407694
15,5888.29,0.26569,0.92475,0.99316,0.2507,0.000384132,0.000384132,0.000384132
16,6624.98,0.26819,0.9239,0.9953,0.24509,0.00036057,0.00036057,0.00036057
17,6985.22,0.24497,0.92732,0.99359,0.23466,0.000337008,0.000337008,0.000337008
18,7342.72,0.245,0.9363,0.99572,0.20685,0.000313446,0.000313446,0.000313446
19,7734.01,0.24369,0.92775,0.9953,0.22144,0.000289884,0.000289884,0.000289884
20,8092.81,0.21498,0.93715,0.99615,0.19567,0.000266322,0.000266322,0.000266322
21,8451.55,0.20452,0.94357,0.99658,0.19068,0.00024276,0.00024276,0.00024276
22,8813.13,0.2024,0.93501,0.99615,0.1891,0.000219198,0.000219198,0.000219198
23,9174.29,0.19985,0.94057,0.99572,0.2095,0.000195636,0.000195636,0.000195636
24,9536.05,0.19202,0.9363,0.99658,0.20077,0.000172074,0.000172074,0.000172074
25,9895.57,0.19006,0.93929,0.99487,0.19303,0.000148512,0.000148512,0.000148512
26,10256.7,0.16413,0.94186,0.9953,0.19535,0.00012495,0.00012495,0.00012495
27,10615.6,0.1761,0.94228,0.99743,0.18491,0.000101388,0.000101388,0.000101388
28,11062.7,0.16661,0.94699,0.99572,0.18273,7.7826e-05,7.7826e-05,7.7826e-05
29,11427,0.1585,0.94699,0.99658,0.17294,5.4264e-05,5.4264e-05,5.4264e-05
30,11799.6,0.15777,0.94528,0.99572,0.17124,3.0702e-05,3.0702e-05,3.0702e-05
